title,desc,date,datetime,link,img,media,site,reporter,processed,is_fatality,deceased_name,deceased_age,date_of_occurrence
'Sneaker Waves' Are A Danger This Week Along The Northwest Coast. What Are They And How Do They Form?,,Mar 25,,https://news.google.com/read/CBMimwFBVV95cUxNZFIxcnpYcVpRTGwxSzV1V3RyTzdvSDFEQTdSOTd6dlNUQkgza3VhRWtWNkpsMGtDc2IyR1VxRW9RVkVGRDB5Q2o0YXNFM1NRcnNLVVplRnNaYUcwa2VWaTlHaFVEbGdFR2JpazNuS3M5YS1WVEZ3X0xQeU5ENWp6ZElPYS1uNzlHUFREemtUWGcwQlpEMkh3M3o1cw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXBORzlEY0Y5b2FFMHRTa1J5VFJDMEFSakFBaWdLTWdZSmdZb1NMUWM=-w200-h112-p-df,The Weather Channel,,By Chris Dolce,,,,,
Rip currents: Know the risks and how to stay safe,,"Jun 27, 2024",,https://news.google.com/read/CBMijwFBVV95cUxQRkVzeE5aTW5hMzRQQXhTRXJ0MG5YaXc2MjRQOERFRW9WQ01KU0J1U2pla0RtbXc2NXp1UTlGNFNndThrcTJvTTcteUtEQlRXSk5WRXlBdWQ0V0c0RW9XSEdhYlhfc1pLX3JMdzgwZ0hPSXhzekNhdTFQOXJ3T1UyeGs2OW5xckFTbXNyazdZRQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDBablJVV1ZsQlZHc3RkV2RaVFJEb0FoaUFCU2dLTWdZaGtaSU9OUWM=-w200-h112-p-df,WAPT,,By Christana Kay,,,,,
"Double tragedy as eight year-old boy and man, 39, both drown in famed California bay",,Jan 22,,https://news.google.com/read/CBMilgFBVV95cUxPSk1sUHlGZmZjLU0xbWxfNmRJSzB4ZmhLWGpEb0l4RTBJZ0xndmlqVnVQOXJvaTlKbXJLMWNwQ2dFMWRvNHZhTmtUUmpfb1ZKYngyRTJ0M1lhM0kzSS1vRmZQNTJoOVlRX2pxcDJPUG1lcW9LSHcwVEdkSnFpelViR3U2MTBUcVZRQ2R4ZEUtQ09pMTdWTUHSAZsBQVVfeXFMTnJuTFBPVUJRd2Q5ZGdrbFJKQndTMjluNVBLeE80WDY0TndtbVVicGJUdzR4bnZndm1YRW83N3QtSXV1MVZmcG9zV3dhdXN6ejQ2R2JBQVBQV0xEYUNSdWt5TGIycnN0bkRkaFZ1OF9KVVhycHlCSFVhLWNJMzJ2RS1JTzV4YWN2MWgydXBfNF95YV84cmk4N3U3NVE?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNU1jekZTV0RJNWJFaGtWVTFKVFJDZkF4ampCU2dLTWdZQjhJaWsxZ00=-w200-h112-p-df,Daily Mail,,By Sophie Gable,,,,,
This Is a Riptide and Sneaker (Rogue) Wave. Never Turn Your Back on the Ocean.,,"Aug 18, 2024",,https://news.google.com/read/CBMiowFBVV95cUxPRmluM1YtT0Fua3g3SFluemxwcjl5eDBOOHkwaHN3LXdEM2VENl9iVmNKWG5NNjRwbFFrYmduUGU5b0Z3V3h3UmhoSUNqMXNyT2tWaGxfLWhmdkdzNjBadmpseVI5OHpiSzRiOVNZMzF6NWowSWJpeFhmRk03RmNxRXQ0UUtwWmxTQ2tBbFBLODRzS2RGeG9ud2Q4LXRnTl92ZUNj?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNVpSM1JLWTBGT05GbFRhRXRUVFJEOUFoaWtCaWdLTWdrTk5JRnRXU0thdUFB=-w200-h112-p-df,coastside buzz,,,,,,,
"Beach Hazards Can Kill During Any Season – Learn to Identify Rip Currents, Watch for Sneaker Waves",,"Aug 22, 2022",,https://news.google.com/read/CBMi0AFBVV95cUxNWUxkRUxIMlYxTV91RzB5V2Z2akVTclhkMFZkZTlQd1RBalY3WnNEa1ZYUUZWeDN4SkxUek5xZ2lrZ3p6bll4VFU2UFQzNXoyUmhqOXlOaUc3aFR5U3AxczNndXc0YXdPenN4TXZPWjFvOXV1aElQdWx1NGRrSTFoNk5nbEFpSjN5SmdPTHVJNlZvTjBjVW9YZ2NLWHFUdkRyMDA4OGVKSnBDeWtyN0Y3QnVfSzF3OUJrZGNZWkFFczk2RkU5ZnpQWlItU1FkdVlr?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDJSbFpMTjFWUVJVVnNWSGxMVFJEN0FoaW9CaWdLTWdZQjBJcGtTUVU=-w200-h112-p-df,Tillamook County Pioneer,,,y,,,,
Safety Issues Associated with Beaches,,"Jul 2, 2017",,https://news.google.com/read/CBMiaEFVX3lxTE02d0RZamhmdmh1MmlRMXZWNjJZQ2JhYk5UNjJhQ1NoY1F5OXgwMXZlUTJWNG52YnBkcV9NVTVCSGw4cDNSMy15U2JxYzBucXJINDdFOUtBOHZ3UEhfSXlRRUc2b3J1ajJG?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNW1WeTF2UVY5Rk0xRklaR3hNVFJEQUFoakFCeWdLTWdNQklobw=-w200-h112-p-df,National Park Service (.gov),,,,,,,
"After Their Son Was Swept Into The Ocean, This Fremont Family Turned Their Grief Into Advocacy",,"Jan 4, 2022",,https://news.google.com/read/CBMiygFBVV95cUxQcXBtaC11dUx6dFNRd2tpTVk3N0lMUGxFeWxieHRpQ1NuMUtiemVtN0diLWI4bGNaaEpNMk14Sm8zVEVaRkxVcjFZdHREMlVXQVZ3bFRpQ1AxQlpyUnJYQzV2NkV1ZHdwSXVaTzNOSnhRZGtqdkktSDZLMnJzb3huVzZpNF95aHhSQUNBdThXV2FuUDJjcXdBT25PUkN2UDVDY3lDYWRSTlNLa0ludC0tQVNDTXdBTDNwN0JQZXp4X213YTdOVHBsSThn?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNDBXVFZzVmtaWlJFSnZURlpYVFJERUF4aW5CU2dLTWdNQmt3QQ=-w200-h112-p-df,KQED,,By Joyce Tsai,,,,,
Deadly currents stalk swimmers,,"Nov 10, 2021",,https://news.google.com/read/CBMimAFBVV95cUxOZTJFSXE2Vk5KTFp0TnoybEVQWTBiWXZjM3FFNHZjejFjbEhjeW82QVlNVzVlNjl1X1RiaWFEX2xYcVE1eVoxMjh4d2IyZVl4bFNZN2V4Y3ZDbzVrcDVJdjdXUnJJeFVEQkJqVmF5Y3JQbm1obmxFYU4tZFZRem1KUXpta3hqdlR6dlFNWGRBaVczdlZxR2FtbQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNUJaM0pYZG1WMGJYYzJZamxrVFJDY0F4aVVCU2dLTWdNQlFBQQ=-w200-h112-p-df,The Florida Times-Union,,By Dinah Voyles Pulver,,,,,
"Even if hurricanes don’t hit, they can still be deadly due to ‘sneaker waves’",,"Sep 8, 2023",,https://news.google.com/read/CBMimwFBVV95cUxPSW5aUGx2TUN5ai12NVl1djFRcFpvc20xbVJpanZ5Q2FEeU45ZTN3UWl1d01Td1Z4ODZTSm5oRm4tM202UHdzLThDVVJSMjNPaUJ4Z3VhTGpVbVY0QkY1QWVlakdJM3VDUENDY29CS3pmS2lyRHN1S2RYOWIwVFZiNW9qWnZlVncwaVQ0a2pzSXhRYk02WHQwN1NSQQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXZaa2hhTkdGR1pXUnFRM1ZtVFJDbUFSaXZBaWdCTWdZQkFZalV2QVE=-w200-h112-p-df,News4JAX,,By Mark Collins,,,,,
How to survive being caught in a rip current | Cover Story,,"Jul 26, 2016",,https://news.google.com/read/CBMiiAFBVV95cUxOeUJqVTBVeWdYZVRzSE5QcDdsYjVQVXJaZDd0M2lIUk92OTJXM09tTUJrMFF2c25tLUpOdjA0U3RNN2pJSFlQRTZqbVZFd1FScnJWU3F0YUlrMmk5el9XeTZvY21tX1RrZEppU1NYMG10WmJJYnViOVdzSVV1R2J1aUNFVWxlVzVZ0gGIAUFVX3lxTFBiTERXTGk0RVBnUndtdUdad3Vta2hjRGNfc0xUbGh5ZUo1OXgwU2Vacm1aLVNqQVRJWERHdXVlZ3ExUnpWT2dsMUNyR0F3RG1iVlhDeHNxSnFEWjRVV3h4M09qeG9laEx0RmJoU2RacmQyX2JUbDdFVUNmSGl0X3hSY2NIYUZPVHA?hl=en-US&gl=US&ceid=US%3Aen,,Myrtle Beach Sun News,,,,,,,
Story map: Play it safe,,"Aug 14, 2018",,https://news.google.com/read/CBMiYEFVX3lxTFBPN2pwb2MtaDJIRTVJQ2FSbmctdjY2ZEs4Rnc0dVBPMVhWUmY3VkdXdGJHWkx3QjlCcFFzb3pNUlQyNlRlcUZVakNGOVdPalpyY3plZzhRT1lrNVZKS0dlRA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTFRV1JyVnpWM1NXTmFTWGQ0VFJDZkF4ampCU2dLTWdZOUFZVDBqQWs=-w200-h112-p-df,National Oceanic and Atmospheric Administration (.gov),,,,,,,
A boy was swept into the ocean. His story reveals the hidden danger of California’s sneaker waves,,"Apr 29, 2021",,https://news.google.com/read/CBMilgFBVV95cUxOdGhWeE82VkF2ZFB3cUR1cjlUN3BKaERDN29ieVJmR1RtV21XRFRkcTdsUXVnLTlULVdMeG1kZFlHd2tEdkp3b1JhOThsLU5OM1czbDFwT1lVTVhFMEVTNlFWOFFXVk5QU3pjZ0pvUGQ4em9BcTdWVm1BMUpzQWd4b1hvRWxJZ3hMTDNsUDF2STR3TmpqeWc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVRTMFpIYjJzNFJsaE5SV040VFJERUF4aW1CU2dLTWdiUklKYVhtQWs=-w200-h112-p-df,San Francisco Chronicle,,By Nora Mishanec,,,,,
"Rip current risks especially high during July Fourth weekend, officials say",,"Jul 4, 2024",,https://news.google.com/read/CBMikwFBVV95cUxNZE1IVnlKbnNBeXg5dUhrbVIxMDZJWklIYWlZYkNqZlU1enktVUhBMk9JVUhKQmwwSUhCWjVJdHF3NDRNN1kzZnhRQm1scHNBUkp6Qzh6dnIzQ2hhM056NDk5a3NZRkdsWjlfaHJFZEpnRmVfNVA3YVUtVGtnUDRGaVpubGh3WEZ6bS1VRy03RGNtS00?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNU5hVWxFVXpSaVEwUkhhVFozVFJERUF4aW1CU2dLTWdNQnlCZw=-w200-h112-p-df,The Washington Post,,By Dan Stillman,,,,,
How to stay safe from sneaker waves,,"Mar 28, 2019",,https://news.google.com/read/CBMif0FVX3lxTE5UVDNReTJRMHU3aGV1MVVTaFc3M3ZGbGtMVWZJMGUwSGdrMUdOTjBiMGlTd0VfQmZab0JnXzg3RnlDRVlIN0UyamZNNWVTcmtNNXpaa0dFeWhFQzJXcWo2TXhaNlQ1bW9wXzE0S3Y5YkJWZFRIaG8wUXgtVmoyVjQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHRXRzFxVEVaNWFYSmpWM0ZOVFJERUF4aW1CU2dLTWdZdE00R1AyUUU=-w200-h112-p-df,SFGATE,,,,,,,
